"Longitude","Latitude","Title","Treezone"
"150.989843","-33.953499","Eucalyptus microcorys","TZ2"
"150.990009","-33.953406","Eucalyptus microcorys","TZ2"
"150.990228","-33.95327","Eucalyptus microcorys","TZ2"
"150.998318","-33.94583","Callistemon viminalis","TZ2"
"150.99092","-33.952894","Eucalyptus microcorys","TZ2"
"150.996222","-33.947334","Melaleuca quinquenervia","TZ2"
"150.991018","-33.952834","Eucalyptus microcorys","TZ2"
"150.991157","-33.952757","Eucalyptus microcorys","TZ2"
"150.998205","-33.945801","Callistemon viminalis","TZ2"
"150.991416","-33.952593","Eucalyptus microcorys","TZ2"
"150.997845","-33.945752","Callistemon viminalis","TZ2"
"150.997515","-33.945706","Callistemon viminalis","TZ2"
"150.99626","-33.947175","Melaleuca quinquenervia","TZ2"
"150.99215","-33.95256","Callistemon viminalis","TZ2"
"150.997351","-33.94567","Callistemon viminalis","TZ2"
"150.996275","-33.947118","Callistemon viminalis","TZ2"
"150.997134","-33.945614","Eucalyptus sp.","TZ2"
"150.991845","-33.952588","Callistemon viminalis","TZ2"
"150.991517","-33.952709","Callistemon viminalis","TZ2"
"150.996329","-33.94686","Callistemon viminalis","TZ2"
"150.991412","-33.952774","Callistemon viminalis","TZ2"
"150.996343","-33.946788","Callistemon viminalis","TZ2"
"150.991114","-33.952935","Callistemon viminalis","TZ2"
"150.996995","-33.945614","Callistemon viminalis","TZ2"
"150.990968","-33.953018","Callistemon viminalis","TZ2"
"150.996351","-33.946756","Callistemon viminalis","TZ2"
"150.990833","-33.953093","Callistemon viminalis","TZ2"
"150.996841","-33.945608","Callistemon viminalis","TZ2"
"150.990574","-33.95324","Callistemon viminalis","TZ2"
"150.996702","-33.945584","Callistemon viminalis","TZ2"
"150.996361","-33.946675","Callistemon sp.","TZ2"
"150.990422","-33.953327","Callistemon viminalis","TZ2"
"150.996367","-33.946653","Lophostemon confertus","TZ2"
"150.996589","-33.945567","Callistemon viminalis","TZ2"
"150.990166","-33.953466","Callistemon viminalis","TZ2"
"150.99645","-33.945541","Callistemon viminalis","TZ2"
"150.996379","-33.946622","Callistemon sp.","TZ2"
"150.989999","-33.953561","Callistemon viminalis","TZ2"
"150.996273","-33.945506","Callistemon viminalis","TZ2"
"150.996392","-33.946567","Callistemon viminalis","TZ2"
"150.996101","-33.945481","Callistemon viminalis","TZ2"
"150.996401","-33.946534","Callistemon viminalis","TZ2"
"150.996226","-33.946692","Callistemon sp.","TZ2"
"150.989768","-33.953688","Eucalyptus microcorys","TZ2"
"150.99623","-33.946646","Callistemon sp.","TZ2"
"150.996231","-33.946618","Callistemon sp.","TZ2"
"150.989324","-33.953942","Callistemon viminalis","TZ2"
"150.9946547","-33.9452524","Lophostemon confertus","TZ2"
"150.989277","-33.953968","Prunus x blireana cv","TZ2"
"150.9947821","-33.94527855","Callistemon viminalis","TZ2"
"150.996173","-33.946364","Lophostemon confertus","TZ2"
"150.988939","-33.954152","Callistemon viminalis","TZ2"
"150.994954","-33.945311","Callistemon viminalis","TZ2"
"150.995954","-33.946335","Lophostemon confertus","TZ2"
"150.988687","-33.954336","Callistemon viminalis","TZ2"
"150.995115","-33.945341","Callistemon viminalis","TZ2"
"150.988533","-33.95453","Callistemon viminalis","TZ2"
"150.988617","-33.954185","Eucalyptus microcorys","TZ2"
"150.995611","-33.945417","Callistemon viminalis","TZ2"
"150.988685","-33.954153","Eucalyptus sp.","TZ2"
"150.988771","-33.954097","Eucalyptus microcorys","TZ2"
"150.994467","-33.946237","Lophostemon confertus","TZ2"
"150.994839","-33.94617","Lophostemon confertus","TZ2"
"150.994011","-33.945461","Callistemon viminalis","TZ2"
"150.994049","-33.945279","Eucalyptus sp.","TZ2"
"150.995596","-33.949488","Callistemon sp.","TZ2"
"150.994063","-33.945839","Eucalyptus sp.","TZ2"
"150.989116","-33.954933","Lophostemon confertus","TZ2"
"151.003631","-33.949688","Callistemon viminalis","TZ2"
"150.98932","-33.954954","Lophostemon confertus","TZ2"
"151.003664","-33.949843","Callistemon viminalis","TZ2"
"150.992956","-33.949069","Tristaniopsis laurina","TZ2"
"150.989656","-33.955002","Lophostemon confertus","TZ2"
"150.993016","-33.949125","Tristaniopsis laurina","TZ2"
"150.993067","-33.949177","Tristaniopsis laurina","TZ2"
"151.003688","-33.949963","Callistemon viminalis","TZ2"
"150.993207","-33.94933","Tristaniopsis laurina","TZ2"
"151.003747","-33.95014","Callistemon viminalis","TZ2"
"150.990006","-33.954873","Callistemon viminalis","TZ2"
"150.990012","-33.954784","Callistemon salignus","TZ2"
"150.993244","-33.949401","Tristaniopsis laurina","TZ2"
"151.003781","-33.950276","Callistemon viminalis","TZ2"
"150.990044","-33.954642","Callistemon viminalis","TZ2"
"150.993296","-33.949452","Tristaniopsis laurina","TZ2"
"151.004118","-33.950355","Callistemon viminalis","TZ2"
"150.990107","-33.954487","Callistemon viminalis","TZ2"
"150.993343","-33.949506","Tristaniopsis laurina","TZ2"
"151.00426","-33.950314","Tristaniopsis laurina","TZ2"
"150.993507","-33.949946","Tristaniopsis laurina","TZ2"
"150.990257","-33.95431","Callistemon viminalis","TZ2"
"151.00434","-33.950369","Nerium oleander","TZ2"
"150.993292","-33.950064","Tristaniopsis laurina","TZ2"
"151.004326","-33.950485","Callistemon viminalis","TZ2"
"151.004176","-33.950493","Callistemon viminalis","TZ2"
"150.990661","-33.954074","Callistemon salignus","TZ2"
"151.004005","-33.950476","Callistemon viminalis","TZ2"
"150.990792","-33.95399","Callistemon salignus","TZ2"
"150.992997","-33.950242","Callistemon viminalis","TZ2"
"151.003881","-33.95062","Callistemon viminalis","TZ2"
